Borough_BORO,ZIPCODE,CUISINE,ACT.CODE,VIOLCODE,SCORE,CURRENTGRADE_current
Borough_Brooklyn,11201,American,F_action,06E,36,Z_current
Borough_Queens,11430,American,F_action,04J,30,B_current
Borough_Brooklyn,11218,American,F_action,08A,34,A_current
Borough_Queens,11430,American,F_action,04A,30,B_current
Borough_Brooklyn,11218,American,F_action,04J,34,A_current
Borough_Brooklyn,11218,American,F_action,10F,34,A_current
Borough_Brooklyn,11218,American,F_action,04L,34,A_current
Borough_Manhattan,10019,---,F_action,05D,36,B_current
Borough_Manhattan,10003,Mexican,F_action,10F,28,A_current
Borough_Queens,11430,American,U_action,02G,27,Z_current
Borough_Manhattan,10003,Mexican,F_action,02G,28,A_current
Borough_Manhattan,10003,Mexican,F_action,06D,28,A_current
Borough_Manhattan,10003,Mexican,F_action,08A,28,A_current
Borough_Manhattan,10003,Mexican,F_action,10B,28,A_current
Borough_Queens,11106,American,U_action,04L,25,Z_current
Borough_Queens,11106,American,U_action,04H,25,Z_current
Borough_Queens,11106,American,U_action,08A,25,Z_current
Borough_Queens,11106,American,U_action,06D,25,Z_current
Borough_Manhattan,10038,American,P_action,06D,24,B_current
Borough_Queens,11430,American,U_action,06D,27,Z_current
Borough_Queens,11430,American,U_action,02B,27,Z_current
Borough_Manhattan,10007,Pizza,G_action,08A,46,C_current
Borough_Queens,11430,American,U_action,04C,27,Z_current
Borough_Queens,11354,Korean,U_action,06F,19,Z_current
Borough_Queens,11354,Korean,U_action,02G,19,Z_current
Borough_Queens,11354,Korean,U_action,04N,26,Z_current
Borough_Queens,11354,Korean,U_action,08A,26,Z_current
Borough_Queens,11354,Korean,U_action,04L,26,Z_current
Borough_Manhattan,10038,American,P_action,10F,24,B_current
Borough_Manhattan,10038,American,P_action,06C,24,B_current
Borough_Manhattan,10038,American,P_action,04H,24,B_current
Borough_Manhattan,10038,American,P_action,06A,24,B_current
Borough_Manhattan,10007,Pizza,G_action,02B,46,C_current
Borough_Manhattan,10007,Pizza,G_action,04L,46,C_current
Borough_Bronx,10462,African,O_action,04L,11,Z_current
Borough_Bronx,10462,African,O_action,06E,11,Z_current
Borough_Manhattan,10007,Pizza,G_action,06C,46,C_current
Borough_Queens,11364,Chinese,P_action,10F,18,B_current
Borough_Manhattan,10012,American,G_action,04L,56,A_current
Borough_Manhattan,10012,American,G_action,02G,56,A_current
Borough_Manhattan,10012,American,G_action,04H,56,A_current
Borough_Manhattan,10012,American,G_action,08A,56,A_current
Borough_Queens,11430,Café/Coffee/Tea,D_action,04J,12,A_current
Borough_Bronx,10462,African,O_action,04N,11,Z_current
Borough_Manhattan,10033,American,P_action,06D,27,B_current
Borough_Queens,11354,Korean,U_action,04A,26,Z_current
Borough_Queens,11354,Korean,U_action,06F,26,Z_current
Borough_Manhattan,10033,American,P_action,04N,27,B_current
Borough_Manhattan,10033,American,P_action,08A,27,B_current
Borough_Queens,11372,Mexican,D_action,02B,12,A_current
Borough_Queens,11364,Chinese,P_action,04L,18,B_current
Borough_Brooklyn,11218,Russian,G_action,04A,40,Z_current
Borough_Manhattan,10012,American,G_action,02B,56,A_current
Borough_Queens,11430,Café/Coffee/Tea,D_action,10F,12,A_current
Borough_Queens,11364,Chinese,P_action,08A,18,B_current
Borough_Manhattan,10012,American,G_action,10B,56,A_current
Borough_Manhattan,10003,Other,D_action,06B,10,A_current
Borough_Queens,11364,Chinese,P_action,02G,18,B_current
Borough_Brooklyn,11206,American,P_action,04N,21,A_current
Borough_Brooklyn,11206,American,P_action,08A,21,A_current
Borough_Brooklyn,11206,American,P_action,10F,21,A_current
Borough_Brooklyn,11206,American,P_action,10B,21,A_current
Borough_Brooklyn,11206,American,P_action,04L,21,A_current
Borough_Queens,11358,Pizza,D_action,10F,13,A_current
Borough_Brooklyn,11206,American,P_action,06A,21,A_current
Borough_Brooklyn,11236,Hamburgers,D_action,08A,12,A_current
Borough_Brooklyn,11236,Hamburgers,D_action,04M,12,A_current
Borough_Manhattan,10033,---,U_action,06D,26,Z_current
Borough_Brooklyn,11236,Hamburgers,D_action,10F,12,A_current
Borough_Manhattan,10033,---,U_action,02B,26,Z_current
Borough_Manhattan,10033,---,U_action,04M,26,Z_current
Borough_Queens,11373,Chinese,G_action,06A,50,A_current
Borough_Brooklyn,11218,Russian,G_action,05A,40,Z_current
Borough_Brooklyn,11218,Russian,G_action,10B,40,Z_current
Borough_Queens,11430,American,P_action,10B,24,B_current
Borough_Queens,11430,American,P_action,99B,24,B_current
Borough_Manhattan,10003,Other,D_action,10H,10,A_current
Borough_Queens,11430,American,P_action,02G,24,B_current
Borough_Queens,11430,American,P_action,08A,24,B_current
Borough_Queens,11430,American,P_action,04N,24,B_current
Borough_Manhattan,10033,---,U_action,08C,26,Z_current
Borough_Queens,11368,Chinese,U_action,06F,19,Z_current
Borough_Queens,11355,Chinese,F_action,10B,29,Z_current
Borough_Queens,11368,Chinese,U_action,06C,19,Z_current
Borough_Manhattan,10033,---,U_action,10F,26,Z_current
Borough_Manhattan,10018,Jewish/Kosher,G_action,08A,65,A_current
Borough_Manhattan,10016,Japanese,F_action,02G,30,A_current
Borough_Manhattan,10016,Japanese,F_action,06A,30,A_current
Borough_Queens,11373,Chinese,G_action,04K,50,A_current
Borough_Queens,11373,Chinese,G_action,08A,50,A_current
Borough_Manhattan,10018,Jewish/Kosher,G_action,02G,65,A_current
Borough_Manhattan,10018,Jewish/Kosher,G_action,04K,65,A_current
Borough_Queens,11373,Chinese,G_action,02G,50,A_current
Borough_Queens,11373,Chinese,G_action,04M,50,A_current
Borough_Queens,11373,Chinese,G_action,06D,50,A_current
Borough_Queens,11436,Donuts,D_action,04H,9,A_current
Borough_Queens,11004,Indian,D_action,04N,10,A_current
Borough_Queens,11004,Indian,D_action,08A,10,A_current
Borough_Queens,11436,Donuts,D_action,10F,9,A_current
Borough_Queens,11106,MiddleEastern,G_action,04M,65,B_current
Borough_Queens,11106,MiddleEastern,G_action,06D,65,B_current
Borough_Queens,11106,MiddleEastern,G_action,10D,65,B_current
Borough_Queens,11372,Pizza,P_action,08A,23,B_current
Borough_Queens,11355,Chinese,F_action,04L,29,Z_current
Borough_Queens,11355,Chinese,F_action,06C,29,Z_current
Borough_Queens,11355,Chinese,F_action,10F,29,Z_current
Borough_Manhattan,10018,Jewish/Kosher,G_action,06D,65,A_current
Borough_Manhattan,10018,Jewish/Kosher,G_action,10F,65,A_current
Borough_Queens,11355,Chinese,F_action,08A,29,Z_current
Borough_Queens,11355,Chinese,F_action,02B,29,Z_current
Borough_Queens,11355,Chinese,F_action,04N,29,Z_current
Borough_Manhattan,10018,Jewish/Kosher,G_action,04H,65,A_current
Borough_Queens,11106,MiddleEastern,G_action,99B,65,B_current
Borough_Manhattan,10018,Jewish/Kosher,G_action,04L,65,A_current
Borough_Manhattan,10018,Jewish/Kosher,G_action,04N,65,A_current
Borough_Queens,11106,MiddleEastern,G_action,02G,65,B_current
Borough_Queens,11429,Chinese,P_action,08A,23,A_current
Borough_Queens,11429,Chinese,P_action,10F,23,A_current
Borough_Manhattan,10018,Jewish/Kosher,G_action,04C,65,A_current
Borough_Manhattan,10018,Jewish/Kosher,G_action,04M,65,A_current
Borough_Queens,11106,MiddleEastern,G_action,04L,65,B_current
Borough_Queens,11429,Chinese,P_action,06C,23,A_current
Borough_Queens,11435,---,P_action,06D,26,C_current
Borough_Queens,11369,Bakery,F_action,08A,32,Z_current
Borough_Queens,11369,Bakery,F_action,10B,32,Z_current
Borough_Queens,11413,Chinese,D_action,08A,11,A_current
Borough_Queens,11106,MiddleEastern,G_action,04H,65,B_current
Borough_Queens,11106,MiddleEastern,G_action,08A,65,B_current
Borough_Queens,11429,Chinese,P_action,04L,23,A_current
Borough_Queens,11372,Pizza,P_action,06C,23,B_current
Borough_Queens,11372,Pizza,P_action,04N,23,B_current
Borough_Queens,11372,Pizza,P_action,10F,23,B_current
Borough_Brooklyn,11206,Japanese,F_action,06D,34,B_current
Borough_Manhattan,10075,American,P_action,10F,20,A_current
Borough_Queens,11372,Pizza,P_action,06A,23,B_current
Borough_Bronx,10460,Chicken,G_action,04L,70,A_current
Borough_Bronx,10460,Chicken,G_action,09C,70,A_current
Borough_Queens,11369,Bakery,F_action,02B,32,Z_current
Borough_Queens,11369,Bakery,F_action,04K,32,Z_current
Borough_Bronx,10460,Chicken,G_action,02G,70,A_current
Borough_Bronx,10460,Chicken,G_action,04H,70,A_current
Borough_Brooklyn,11231,Chinese,W_action,08A,17,A_current
Borough_Queens,11435,---,P_action,04N,26,C_current
Borough_Queens,11435,---,P_action,08A,26,C_current
Borough_Queens,11435,---,P_action,10B,26,C_current
Borough_Queens,11434,Spanish,U_action,04H,20,Z_current
Borough_Queens,11413,Chinese,D_action,04L,11,A_current
Borough_Manhattan,10075,American,P_action,02B,20,A_current
Borough_Queens,11369,Bakery,F_action,99B,32,Z_current
Borough_Queens,11372,Chicken,D_action,10E,6,A_current
Borough_Queens,11435,---,P_action,04L,26,C_current
Borough_Queens,11369,Bakery,F_action,04C,32,Z_current
Borough_Queens,11372,Chicken,D_action,10F,6,A_current
Borough_Queens,11434,Spanish,U_action,04L,20,Z_current
Borough_Brooklyn,11206,Japanese,F_action,08A,34,B_current
Borough_Brooklyn,11206,Japanese,F_action,10B,34,B_current
Borough_Queens,11432,American,D_action,10E,2,A_current
Borough_Brooklyn,11203,Chicken,U_action,08A,27,Z_current
Borough_Queens,11369,Bakery,F_action,04N,32,Z_current
Borough_Bronx,10460,Chicken,G_action,04N,70,A_current
Borough_Bronx,10460,Chicken,G_action,05D,70,A_current
Borough_Bronx,10460,Chicken,G_action,10F,70,A_current
Borough_Queens,11413,Chinese,D_action,99B,11,A_current
Borough_Brooklyn,11211,Chinese,D_action,02G,10,A_current
Borough_Brooklyn,11211,Chinese,D_action,10F,10,A_current
Borough_Bronx,10460,Chicken,G_action,04M,70,A_current
Borough_Bronx,10460,Chicken,G_action,08A,70,A_current
Borough_Brooklyn,11206,Japanese,F_action,04L,34,B_current
Borough_Manhattan,10012,Pizza/Italian,F_action,02B,48,A_current
Borough_Brooklyn,11203,Chicken,U_action,04L,27,Z_current
Borough_Brooklyn,11203,Chicken,U_action,10F,27,Z_current
Borough_Bronx,10460,Chicken,G_action,06D,70,A_current
Borough_Brooklyn,11206,Japanese,F_action,04C,34,B_current
Borough_Manhattan,10012,Pizza/Italian,F_action,10A,48,A_current
Borough_Queens,11358,American,D_action,10C,2,A_current
Borough_Brooklyn,11218,Italian,D_action,06E,7,A_current
Borough_Manhattan,10075,American,P_action,02G,17,A_current
Borough_Manhattan,10075,American,P_action,99B,17,A_current
Borough_Queens,11358,Pizza/Italian,D_action,06D,8,A_current
Borough_Brooklyn,11231,Chinese,W_action,09A,17,A_current
Borough_Queens,11358,Korean,D_action,10F,11,A_current
Borough_Queens,11105,American,D_action,08A,13,A_current
Borough_Brooklyn,11231,Chinese,W_action,04L,17,A_current
Borough_Manhattan,10025,Donuts,D_action,10E,4,A_current
Borough_Queens,11361,Chicken,F_action,10F,32,C_current
Borough_Brooklyn,11201,SoulFood,D_action,10A,13,A_current
Borough_Bronx,10471,Donuts,D_action,04L,12,A_current
Borough_Bronx,10471,Donuts,D_action,09C,12,A_current
Borough_Queens,11105,American,D_action,04L,13,A_current
Borough_Queens,11358,Korean,D_action,04J,11,A_current
Borough_Bronx,10474,Mexican,U_action,04L,27,Z_current
Borough_Bronx,10474,Mexican,U_action,09C,27,Z_current
Borough_Bronx,10471,Donuts,D_action,08A,12,A_current
Borough_Queens,11434,Chinese,F_action,04N,52,A_current
Borough_Queens,11434,Chinese,F_action,08A,52,A_current
Borough_Queens,11427,American,F_action,09B,46,A_current
Borough_Manhattan,10025,American,D_action,09B,12,A_current
Borough_Brooklyn,11203,Chicken,U_action,10E,27,Z_current
Borough_Manhattan,10075,Delicatessen,P_action,08A,22,B_current
Borough_Bronx,10474,Mexican,U_action,02H,27,Z_current
Borough_Bronx,10474,Mexican,U_action,08A,27,Z_current
Borough_Queens,11361,American,D_action,06D,13,A_current
Borough_Queens,11361,American,D_action,06E,13,A_current
Borough_Queens,11361,American,D_action,10F,13,A_current
Borough_Manhattan,10001,Other,P_action,06F,22,A_current
Borough_Brooklyn,11211,Vietnamese/Cambodian/Malaysia,D_action,10F,11,A_current
Borough_Brooklyn,11203,Chicken,U_action,04M,27,Z_current
Borough_Queens,11372,Chinese,D_action,10F,12,A_current
Borough_Brooklyn,11211,Vietnamese/Cambodian/Malaysia,D_action,02G,11,A_current
Borough_Brooklyn,11203,Chicken,U_action,02B,27,Z_current
Borough_Brooklyn,11203,Chicken,U_action,04N,27,Z_current
Borough_Brooklyn,11203,Chicken,U_action,10B,27,Z_current
Borough_Manhattan,10025,American,D_action,04L,12,A_current
Borough_Manhattan,10032,---,D_action,09C,12,A_current
Borough_Manhattan,10032,---,D_action,10F,12,A_current
Borough_Manhattan,10075,Delicatessen,P_action,04L,22,B_current
Borough_Manhattan,10001,Other,P_action,02G,22,A_current
Borough_Manhattan,10001,Other,P_action,10H,22,A_current
Borough_Manhattan,10032,---,G_action,04L,39,C_current
Borough_Queens,11358,American,P_action,10F,19,A_current
Borough_Manhattan,10012,Pizza/Italian,F_action,07A,48,A_current
Borough_Queens,11358,American,P_action,06D,19,A_current
Borough_Manhattan,10023,Irish,F_action,10B,37,A_current
Borough_Queens,11361,Chicken,F_action,02G,32,C_current
Borough_Manhattan,10018,Sandwiches/Salads/MixedBuffet,P_action,08A,25,A_current
Borough_Queens,11426,Italian,U_action,02B,22,Z_current
Borough_Queens,11358,Pizza/Italian,D_action,10F,8,A_current
Borough_Queens,11361,Chicken,F_action,04H,32,C_current
Borough_Manhattan,10075,American,P_action,02B,17,A_current
Borough_Manhattan,10032,---,G_action,06E,39,C_current
Borough_Manhattan,10032,---,G_action,08A,39,C_current
Borough_Manhattan,10023,Irish,F_action,06E,37,A_current
Borough_Manhattan,10032,---,G_action,04N,39,C_current
Borough_Manhattan,10018,Sandwiches/Salads/MixedBuffet,P_action,06A,25,A_current
Borough_Queens,11426,Italian,U_action,06D,22,Z_current
Borough_Brooklyn,11201,SoulFood,D_action,04L,13,A_current
Borough_Queens,11361,Chicken,F_action,09C,32,C_current
Borough_Manhattan,10032,---,G_action,04M,39,C_current
Borough_Queens,11358,American,P_action,05D,19,A_current
Borough_Queens,11373,Bakery,P_action,06C,26,A_current
Borough_Brooklyn,11206,Spanish,F_action,02G,61,A_current
Borough_Brooklyn,11206,Spanish,F_action,04H,61,A_current
Borough_Brooklyn,11206,Spanish,F_action,08A,61,A_current
Borough_Queens,11361,Chicken,F_action,02C,32,C_current
Borough_Brooklyn,11236,American,G_action,08A,39,A_current
Borough_Manhattan,10002,Chinese,U_action,10F,26,Z_current
Borough_Queens,11105,American,D_action,04N,13,A_current
Borough_Queens,11354,Asian,F_action,10F,31,A_current
Borough_Manhattan,10128,Mediterranean,F_action,08A,34,A_current
Borough_Manhattan,10025,Donuts,D_action,10I,4,A_current
Borough_Brooklyn,11206,Spanish,F_action,04L,61,A_current
Borough_Brooklyn,11206,Spanish,F_action,10E,61,A_current
Borough_Queens,11434,Chinese,F_action,04M,52,A_current
Borough_Queens,11427,American,F_action,04H,46,A_current
Borough_Queens,11427,American,F_action,05I,46,A_current
Borough_Brooklyn,11236,American,G_action,10A,39,A_current
Borough_Queens,11434,Chinese,F_action,06C,52,A_current
Borough_Manhattan,10002,Chinese,U_action,06C,26,Z_current
Borough_Manhattan,10128,Mediterranean,F_action,04A,34,A_current
Borough_Manhattan,10039,---,P_action,02G,22,A_current
Borough_Queens,11427,American,F_action,06D,46,A_current
Borough_Queens,11434,Chinese,F_action,02G,52,A_current
Borough_Queens,11434,Chinese,F_action,09A,52,A_current
Borough_Manhattan,10001,American,P_action,06E,17,A_current
Borough_Manhattan,10001,Other,P_action,06D,22,A_current
Borough_Queens,11372,Chinese,D_action,10B,12,A_current
Borough_Manhattan,10001,Korean,F_action,04N,64,Z_current
Borough_Manhattan,10001,Korean,F_action,08A,64,Z_current
Borough_Queens,11427,American,F_action,02B,46,A_current
Borough_Queens,11427,American,F_action,10F,46,A_current
Borough_Queens,11372,Chinese,D_action,02B,12,A_current
Borough_Manhattan,10075,Delicatessen,P_action,08C,22,B_current
Borough_Manhattan,10075,Delicatessen,P_action,10F,22,B_current
Borough_Manhattan,10001,Other,P_action,09C,22,A_current
Borough_Queens,11426,Italian,U_action,99B,22,Z_current
Borough_Brooklyn,11228,Chinese,D_action,10F,12,A_current
Borough_Manhattan,10023,Irish,F_action,02G,37,A_current
Borough_Queens,11426,Italian,U_action,02G,22,Z_current
Borough_Manhattan,10023,Irish,F_action,99B,37,A_current
Borough_Queens,11417,Chinese,F_action,08A,54,A_current
Borough_Manhattan,10018,Sandwiches/Salads/MixedBuffet,P_action,04H,25,A_current
Borough_Manhattan,10032,---,D_action,02G,12,A_current
Borough_Bronx,10470,American,D_action,06D,9,A_current
Borough_Bronx,10470,American,D_action,10E,9,A_current
Borough_Brooklyn,11228,Chinese,D_action,02G,12,A_current
Borough_Manhattan,10031,American,O_action,08A,10,Z_current
Borough_Queens,11354,Donuts,D_action,10F,9,A_current
Borough_Bronx,10470,American,D_action,10F,9,A_current
Borough_Manhattan,10023,Irish,F_action,04H,37,A_current
Borough_Manhattan,10023,Irish,F_action,08A,37,A_current
Borough_Queens,11103,MiddleEastern,F_action,10B,48,Z_current
Borough_Brooklyn,11233,Other,D_action,04M,10,A_current
Borough_Manhattan,10018,Sandwiches/Salads/MixedBuffet,P_action,04N,25,A_current
Borough_Bronx,10458,Café/Coffee/Tea,U_action,04A,21,Z_current
Borough_Bronx,10458,Café/Coffee/Tea,U_action,10A,21,Z_current
Borough_Brooklyn,11236,American,G_action,04L,39,A_current
Borough_Queens,11373,Bakery,P_action,02B,26,A_current
Borough_Manhattan,10002,Chinese,U_action,02B,26,Z_current
Borough_Manhattan,10031,American,O_action,04L,10,Z_current
